tag,poison_strategy,poison_rate,prompt_mode,top_k,n_samples,accuracy,hallucination_rate,source_grounding_score,poison_acceptance_rate,conflict_detection_rate,normalized_exact_match_rate,token_f1_mean,pre_validation_conflict_rate,duration_s
false_evidence_r000_standard_prompt,false_evidence,0.0,standard_prompt,3,50,0.16,0.0,1.0,0.0,0.72,0.16,0.1067,0.14,232.8
false_evidence_r000_verification_prompt,false_evidence,0.0,verification_prompt,3,50,0.48,0.0,1.0,0.0,0.26,0.48,0.32,0.14,176.4
false_evidence_r000_uncertainty_prompt,false_evidence,0.0,uncertainty_prompt,3,50,0.52,0.0,1.0,0.0,0.2,0.52,0.3467,0.14,164.6
false_evidence_r025_standard_prompt,false_evidence,0.25,standard_prompt,3,50,0.18,0.0,1.0,0.04,0.74,0.18,0.12,0.18,191.6
false_evidence_r025_verification_prompt,false_evidence,0.25,verification_prompt,3,50,0.52,0.0,1.0,0.16,0.24,0.52,0.3467,0.18,108.0
false_evidence_r025_uncertainty_prompt,false_evidence,0.25,uncertainty_prompt,3,50,0.46,0.0,1.0,0.24,0.24,0.46,0.3067,0.18,177.4
false_evidence_r050_standard_prompt,false_evidence,0.5,standard_prompt,3,50,0.12,0.0,1.0,0.06,0.82,0.12,0.08,0.14,92.0
false_evidence_r050_verification_prompt,false_evidence,0.5,verification_prompt,3,50,0.62,0.0,1.0,0.12,0.22,0.62,0.4134,0.14,69.1
false_evidence_r050_uncertainty_prompt,false_evidence,0.5,uncertainty_prompt,3,50,0.54,0.0,1.0,0.2,0.24,0.54,0.36,0.14,59.3
false_evidence_r075_standard_prompt,false_evidence,0.75,standard_prompt,3,50,0.14,0.0,1.0,0.04,0.82,0.14,0.0933,0.12,141.8
false_evidence_r075_verification_prompt,false_evidence,0.75,verification_prompt,3,50,0.54,0.0,1.0,0.16,0.3,0.54,0.36,0.12,63.9
false_evidence_r075_uncertainty_prompt,false_evidence,0.75,uncertainty_prompt,3,50,0.54,0.0,1.0,0.24,0.22,0.54,0.36,0.12,66.1
conflicting_evidence_r000_standard_prompt,conflicting_evidence,0.0,standard_prompt,3,50,0.16,0.0,1.0,0.0,0.72,0.16,0.1067,0.14,92.9
conflicting_evidence_r000_verification_prompt,conflicting_evidence,0.0,verification_prompt,3,50,0.48,0.0,1.0,0.0,0.26,0.48,0.32,0.14,237.8
conflicting_evidence_r000_uncertainty_prompt,conflicting_evidence,0.0,uncertainty_prompt,3,50,0.52,0.0,1.0,0.0,0.2,0.52,0.3467,0.14,59.9
conflicting_evidence_r025_standard_prompt,conflicting_evidence,0.25,standard_prompt,3,50,0.16,0.0,1.0,0.08,0.7,0.16,0.1067,0.14,62.2
conflicting_evidence_r025_verification_prompt,conflicting_evidence,0.25,verification_prompt,3,50,0.54,0.0,1.0,0.1,0.26,0.54,0.36,0.14,57.5
conflicting_evidence_r025_uncertainty_prompt,conflicting_evidence,0.25,uncertainty_prompt,3,50,0.5,0.0,1.0,0.18,0.22,0.5,0.3333,0.14,60.2
