tag,poison_strategy,poison_rate,prompt_mode,top_k,n_samples,accuracy,hallucination_rate,source_grounding_score,poison_acceptance_rate,conflict_detection_rate,normalized_exact_match_rate,token_f1_mean,pre_validation_conflict_rate,duration_s
false_evidence_r000_standard_prompt,false_evidence,0.0,standard_prompt,3,50,0,0.0,1.0,0.0,1,0,0.0,0.5,85.3
false_evidence_r000_verification_prompt,false_evidence,0.0,verification_prompt,3,50,0,0.0,1.0,0.0,0.88,0,0.0,0.5,63.4
false_evidence_r000_uncertainty_prompt,false_evidence,0.0,uncertainty_prompt,3,50,0,0.0,1.0,0.0,0.9,0,0.0,0.5,82.1
false_evidence_r025_standard_prompt,false_evidence,0.25,standard_prompt,3,50,0,0.0,1.0,0.0,1,0,0.0,0.5,87.6
false_evidence_r025_verification_prompt,false_evidence,0.25,verification_prompt,3,50,0,0.0,1.0,0.08,0.88,0,0.0,0.5,92.0
false_evidence_r025_uncertainty_prompt,false_evidence,0.25,uncertainty_prompt,3,50,0,0.0,1.0,0.1,0.88,0,0.0,0.5,141.3
false_evidence_r050_standard_prompt,false_evidence,0.5,standard_prompt,3,50,0,0.0,1.0,0.0,1,0,0.0,0.56,75.9
false_evidence_r050_verification_prompt,false_evidence,0.5,verification_prompt,3,50,0,0.0,1.0,0.08,0.9,0,0.0,0.56,56.7
false_evidence_r050_uncertainty_prompt,false_evidence,0.5,uncertainty_prompt,3,50,0,0.0,1.0,0.1,0.88,0,0.0,0.56,46.6
false_evidence_r075_standard_prompt,false_evidence,0.75,standard_prompt,3,50,0,0.0,1.0,0.0,1,0,0.0,0.54,81.4
false_evidence_r075_verification_prompt,false_evidence,0.75,verification_prompt,3,50,0,0.0,1.0,0.14,0.86,0,0.0,0.54,53.0
false_evidence_r075_uncertainty_prompt,false_evidence,0.75,uncertainty_prompt,3,50,0,0.0,1.0,0.14,0.86,0,0.0,0.54,60.4
conflicting_evidence_r000_standard_prompt,conflicting_evidence,0.0,standard_prompt,3,50,0,0.0,1.0,0.0,1,0,0.0,0.5,81.6
conflicting_evidence_r000_verification_prompt,conflicting_evidence,0.0,verification_prompt,3,50,0,0.0,1.0,0.0,0.88,0,0.0,0.5,63.3
conflicting_evidence_r000_uncertainty_prompt,conflicting_evidence,0.0,uncertainty_prompt,3,50,0,0.0,1.0,0.0,0.9,0,0.0,0.5,79.6
conflicting_evidence_r025_standard_prompt,conflicting_evidence,0.25,standard_prompt,3,50,0,0.0,1.0,0.0,1,0,0.0,0.5,91.6
conflicting_evidence_r025_verification_prompt,conflicting_evidence,0.25,verification_prompt,3,50,0,0.0,1.0,0.08,0.88,0,0.0,0.5,116.1
conflicting_evidence_r025_uncertainty_prompt,conflicting_evidence,0.25,uncertainty_prompt,3,50,0,0.0,1.0,0.06,0.9,0,0.0,0.5,96.2
conflicting_evidence_r050_standard_prompt,conflicting_evidence,0.5,standard_prompt,3,50,0,0.0,1.0,0.0,1,0,0.0,0.58,84.1
conflicting_evidence_r050_verification_prompt,conflicting_evidence,0.5,verification_prompt,3,50,0,0.0,1.0,0.08,0.9,0,0.0,0.58,56.9
conflicting_evidence_r050_uncertainty_prompt,conflicting_evidence,0.5,uncertainty_prompt,3,50,0,0.0,1.0,0.06,0.9,0,0.0,0.58,69.3
conflicting_evidence_r075_standard_prompt,conflicting_evidence,0.75,standard_prompt,3,50,0,0.0,1.0,0.0,1,0,0.0,0.54,144.6
conflicting_evidence_r075_verification_prompt,conflicting_evidence,0.75,verification_prompt,3,50,0,0.0,1.0,0.12,0.88,0,0.0,0.54,69.1
conflicting_evidence_r075_uncertainty_prompt,conflicting_evidence,0.75,uncertainty_prompt,3,50,0,0.0,1.0,0.12,0.88,0,0.0,0.54,79.9
confident_false_evidence_r000_standard_prompt,confident_false_evidence,0.0,standard_prompt,3,50,0,0.0,1.0,0.0,1,0,0.0,0.5,87.0
confident_false_evidence_r000_verification_prompt,confident_false_evidence,0.0,verification_prompt,3,50,0,0.0,1.0,0.0,0.88,0,0.0,0.5,95.1
confident_false_evidence_r000_uncertainty_prompt,confident_false_evidence,0.0,uncertainty_prompt,3,50,0,0.0,1.0,0.0,0.9,0,0.0,0.5,90.2
confident_false_evidence_r025_standard_prompt,confident_false_evidence,0.25,standard_prompt,3,50,0,0.0,1.0,0.0,1,0,0.0,0.54,84.2
confident_false_evidence_r025_verification_prompt,confident_false_evidence,0.25,verification_prompt,3,50,0.02,0.0,1.0,0.12,0.82,0.02,0.0133,0.54,67.2
confident_false_evidence_r025_uncertainty_prompt,confident_false_evidence,0.25,uncertainty_prompt,3,50,0.02,0.0,1.0,0.1,0.88,0.02,0.0133,0.54,87.8
confident_false_evidence_r050_standard_prompt,confident_false_evidence,0.5,standard_prompt,3,50,0,0.0,1.0,0.0,1,0,0.0,0.52,126.0
confident_false_evidence_r050_verification_prompt,confident_false_evidence,0.5,verification_prompt,3,50,0.02,0.0,1.0,0.1,0.86,0.02,0.0133,0.52,133.9
confident_false_evidence_r050_uncertainty_prompt,confident_false_evidence,0.5,uncertainty_prompt,3,50,0.02,0.0,1.0,0.1,0.86,0.02,0.0133,0.52,114.9
confident_false_evidence_r075_standard_prompt,confident_false_evidence,0.75,standard_prompt,3,50,0,0.0,1.0,0.0,1,0,0.0,0.48,116.9
confident_false_evidence_r075_verification_prompt,confident_false_evidence,0.75,verification_prompt,3,50,0.02,0.0,1.0,0.16,0.82,0.02,0.0133,0.48,124.3
confident_false_evidence_r075_uncertainty_prompt,confident_false_evidence,0.75,uncertainty_prompt,3,50,0.02,0.0,1.0,0.16,0.82,0.02,0.0133,0.48,130.6
mixed_evidence_r000_standard_prompt,mixed_evidence,0.0,standard_prompt,3,50,0,0.0,1.0,0.0,1,0,0.0,0.5,113.2
mixed_evidence_r000_verification_prompt,mixed_evidence,0.0,verification_prompt,3,50,0,0.0,1.0,0.0,0.88,0,0.0,0.5,132.8
mixed_evidence_r000_uncertainty_prompt,mixed_evidence,0.0,uncertainty_prompt,3,50,0,0.0,1.0,0.0,0.9,0,0.0,0.5,155.9
mixed_evidence_r025_standard_prompt,mixed_evidence,0.25,standard_prompt,3,50,0,0.0,1.0,0.0,1,0,0.0,0.44,160.8
mixed_evidence_r025_verification_prompt,mixed_evidence,0.25,verification_prompt,3,50,0,0.0,1.0,0.14,0.8,0,0.0,0.44,105.1
mixed_evidence_r025_uncertainty_prompt,mixed_evidence,0.25,uncertainty_prompt,3,50,0,0.0,1.0,0.12,0.82,0,0.0,0.44,135.3
mixed_evidence_r050_standard_prompt,mixed_evidence,0.5,standard_prompt,3,50,0,0.0,1.0,0.0,1,0,0.0,0.42,174.5
mixed_evidence_r050_verification_prompt,mixed_evidence,0.5,verification_prompt,3,50,0,0.0,1.0,0.14,0.82,0,0.0,0.42,169.4
mixed_evidence_r050_uncertainty_prompt,mixed_evidence,0.5,uncertainty_prompt,3,50,0,0.0,1.0,0.16,0.82,0,0.0,0.42,149.6
mixed_evidence_r075_standard_prompt,mixed_evidence,0.75,standard_prompt,3,50,0,0.0,1.0,0.0,1,0,0.0,0.4,204.3
mixed_evidence_r075_verification_prompt,mixed_evidence,0.75,verification_prompt,3,50,0.02,0.0,1.0,0.1,0.86,0.02,0.0133,0.4,113.8
mixed_evidence_r075_uncertainty_prompt,mixed_evidence,0.75,uncertainty_prompt,3,50,0.02,0.0,1.0,0.06,0.9,0.02,0.0133,0.4,123.7
